slot_id,slot_width,mac,desc,isiot,ethlen,ethsum,ethstd,remote_ip,avg_ttl,tcp_udp_ratio,ports,tcpts_skew,max_winds,udns,dns,avg_ua
1546731593.76,60,dc:0b:34:f2:20:42,LG G3,0,17,3494,0.25480698743533087,3,64.0,0.5,2,62.40423449253829,65535,1,1,
1546731593.76,60,34:e6:ad:29:64:8b,Dell laptop,0,65,14398,1.6958411830073454,5,79.619047619,0.5,4,,17520,4,4,44.0
1546731653.91,60,f4:f5:e8:57:86:a6,Chromecast,1,45,13107,1.6403709609289336,7,64.0,0.4,5,,403,3,4,
1546731653.91,60,08:62:66:b2:82:d4,Asus ZenPad,0,3,245,0.006228089332580566,1,64.0,1.0,1,0.02353163164956556,1386,0,0,
1546731653.91,60,e0:94:67:31:ab:f0,lenovo laptop,0,137,48324,1.0405987992056631,14,91.3873873874,0.285714285714,7,,17520,1,1,
1546731653.91,60,dc:0b:34:f2:20:42,LG G3,0,1,42,nan,0,,0,0,,,0,0,
1546731653.91,60,34:e6:ad:29:64:8b,Dell laptop,0,41,9879,1.9812015208577944,4,51.8,0.5,4,,17520,1,2,
1546731653.91,60,5c:70:a3:61:5a:04,nexus 5x,0,149,32195,1.3604143808084461,9,64.0,0.666666666667,3,18216771.25647254,65535,8,8,
1546731628.85,120,f4:f5:e8:57:86:a6,Chromecast,1,99,23428,1.592992782390121,10,88.1263157895,0.333333333333,6,2.5137605442282953,403,4,8,
1546731628.85,120,08:62:66:b2:82:d4,Asus ZenPad,0,3,245,0.006228089332580566,1,64.0,1.0,1,0.02353163164956556,1386,0,0,
1546731628.85,120,e0:94:67:31:ab:f0,lenovo laptop,0,255,72524,1.0339430613672824,17,107.68,0.285714285714,7,,65535,2,3,
1546731628.85,120,dc:0b:34:f2:20:42,LG G3,0,18,3536,0.7862924542310774,3,64.0,0.5,2,62.40423449253829,65535,1,1,
1546731628.85,120,34:e6:ad:29:64:8b,Dell laptop,0,91,21666,1.9707216088304804,6,59.5056179775,0.5,4,,17520,2,3,
1546731628.85,120,5c:70:a3:61:5a:04,nexus 5x,0,176,34001,2.5585273728165507,9,64.0,0.75,4,56984512.570302494,65535,8,8,
1546731450.81,300,f4:f5:e8:57:86:a6,Chromecast,1,262,70727,1.5602233047269123,13,91.3944223108,0.25,8,4.037987617409089,403,6,20,
1546731450.81,300,08:62:66:b2:82:d4,Asus ZenPad,0,10,857,44.253124947362124,1,64.0,1.0,1,244.51642649744886,1386,0,0,
1546731450.81,300,e0:94:67:31:ab:f0,lenovo laptop,0,605,141760,1.034538330803109,23,116.414035088,0.285714285714,7,,65535,9,15,
1546731450.81,300,dc:0b:34:f2:20:42,LG G3,0,19,3649,18.563938232857232,3,64.0,0.5,2,62.40423449253829,65535,1,1,
1546731450.81,300,34:e6:ad:29:64:8b,Dell laptop,0,224,52873,1.903909643043179,12,57.1162790698,0.6,5,,17520,7,10,44.0
1546731450.81,300,ac:af:b9:77:ad:66,Galaxy-A7-2017,0,1,113,nan,0,,0,0,,,0,0,
1546731450.81,300,5c:70:a3:61:5a:04,nexus 5x,0,184,34566,9.103560567701479,11,64.0,0.75,4,165791976.71382666,65535,8,8,
1546731713.94,60,f4:f5:e8:57:86:a6,Chromecast,1,69,23848,1.356748895826042,9,98.7272727273,0.4,5,0.01465965992231096,403,4,5,
1546731713.94,60,08:62:66:b2:82:d4,Asus ZenPad,0,4,404,0.157863149313016,1,64.0,1.0,1,1.6332242794709513,1386,0,0,
1546731713.94,60,e0:94:67:31:ab:f0,lenovo laptop,0,118,23355,1.0277983803204218,16,123.504424779,0.333333333333,6,,65535,1,2,
1546731713.94,60,34:e6:ad:29:64:8b,Dell laptop,0,61,14714,1.812473540822929,5,76.3389830508,0.333333333333,3,,17520,2,2,
1546731713.94,60,5c:70:a3:61:5a:04,nexus 5x,0,101,25584,1.8045567408195176,5,64.0,0.5,4,1758.3730296625179,65535,1,1,
1546731571.28,240,f4:f5:e8:57:86:a6,Chromecast,1,201,54333,1.582021358951327,12,87.6288659794,0.285714285714,7,3.928640558074406,403,6,16,
1546731571.28,240,08:62:66:b2:82:d4,Asus ZenPad,0,8,750,21.706130235188688,1,64.0,1.0,1,41086.50732778873,1386,0,0,
1546731571.28,240,e0:94:67:31:ab:f0,lenovo laptop,0,504,127122,1.0302528972255898,19,116.110638298,0.285714285714,7,,65535,5,7,
1546731571.28,240,dc:0b:34:f2:20:42,LG G3,0,18,3536,0.7862924542310774,3,64.0,0.5,2,62.40423449253829,65535,1,1,
1546731571.28,240,34:e6:ad:29:64:8b,Dell laptop,0,195,46836,1.880716592674749,10,63.4920634921,0.6,5,,17520,7,10,44.0
1546731571.28,240,5c:70:a3:61:5a:04,nexus 5x,0,254,57994,2.8055770757509526,9,64.0,0.6,5,153892566.18101284,65535,9,9,
1546731647.1,180,f4:f5:e8:57:86:a6,Chromecast,1,150,44007,1.568670658179795,11,79.8068965517,0.285714285714,7,0.03308841659085205,403,5,12,
1546731647.1,180,08:62:66:b2:82:d4,Asus ZenPad,0,8,750,21.706130235188688,1,64.0,1.0,1,41086.50732778873,1386,0,0,
1546731647.1,180,e0:94:67:31:ab:f0,lenovo laptop,0,356,92687,1.0561921373141097,17,111.537037037,0.285714285714,7,,65535,2,3,
1546731647.1,180,dc:0b:34:f2:20:42,LG G3,0,18,3536,0.7862924542310774,3,64.0,0.5,2,62.40423449253829,65535,1,1,
1546731647.1,180,34:e6:ad:29:64:8b,Dell laptop,0,139,34245,1.9596653804709263,8,60.7647058824,0.5,4,,17520,3,5,
1546731647.1,180,5c:70:a3:61:5a:04,nexus 5x,0,254,57994,2.8055770757509526,9,64.0,0.6,5,153892566.18101284,65535,9,9,
1546731774.24,60,f4:f5:e8:57:86:a6,Chromecast,1,48,9853,1.5295804817807126,8,112.765957447,0.333333333333,6,,403,2,3,
1546731774.24,60,08:62:66:b2:82:d4,Asus ZenPad,0,1,101,nan,1,64.0,1.0,1,,1386,0,0,
1546731774.24,60,e0:94:67:31:ab:f0,lenovo laptop,0,97,19188,1.0822529159450747,14,117.416666667,0.4,5,,65535,0,0,
1546731774.24,60,34:e6:ad:29:64:8b,Dell laptop,0,25,7661,2.3942466546133683,2,6.08,0.0,2,,,1,1,
1546731774.24,60,5c:70:a3:61:5a:04,nexus 5x,0,4,215,8.95588758288014,2,64.0,0.5,2,,343,0,0,
1546731749.18,120,f4:f5:e8:57:86:a6,Chromecast,1,105,31400,1.4065077859286232,9,86.6930693069,0.333333333333,6,0.01789179862225836,403,4,8,
